江西频道,#genre#
东方卫视,http://iku.sunnyli.link:4144/udp/239.252.219.229:5140
东南卫视,http://iku.sunnyli.link:4144/udp/239.252.219.38:5140
东南卫视,http://iku.sunnyli.link:4144/udp/239.252.220.82:5140
甘肃卫视,http://iku.sunnyli.link:4144/udp/239.252.219.110:5140
甘肃卫视,http://iku.sunnyli.link:4144/udp/239.252.219.140:5140
广东卫视,http://iku.sunnyli.link:4144/udp/239.252.219.39:5140
广东卫视,http://iku.sunnyli.link:4144/udp/239.252.219.213:5140
广西卫视,http://iku.sunnyli.link:4144/udp/239.252.219.183:5140
贵州卫视,http://iku.sunnyli.link:4144/udp/239.252.219.41:5140
贵州卫视,http://iku.sunnyli.link:4144/udp/239.252.220.190:5140
海南卫视,http://iku.sunnyli.link:4144/udp/239.252.219.42:5140
河北卫视,http://iku.sunnyli.link:4144/udp/239.252.220.153:5140
河北卫视,http://iku.sunnyli.link:4144/udp/239.252.220.154:5140
河南卫视,http://iku.sunnyli.link:4144/udp/239.252.219.33:5140
河南卫视,http://iku.sunnyli.link:4144/udp/239.252.220.189:5140
黑龙江卫视,http://iku.sunnyli.link:4144/udp/239.252.219.37:5140
黑龙江卫视,http://iku.sunnyli.link:4144/udp/239.252.219.211:5140
湖北卫视,http://iku.sunnyli.link:4144/udp/239.252.219.29:5140
湖北卫视,http://iku.sunnyli.link:4144/udp/239.252.219.208:5140
湖南卫视,http://iku.sunnyli.link:4144/udp/239.252.219.28:5140
湖南卫视,http://iku.sunnyli.link:4144/udp/239.252.219.201:5140
吉林卫视,http://iku.sunnyli.link:4144/udp/239.252.219.36:5140
吉林卫视,http://iku.sunnyli.link:4144/udp/239.252.220.188:5140
江苏卫视,http://iku.sunnyli.link:4144/udp/239.252.219.23:5140
江苏卫视,http://iku.sunnyli.link:4144/udp/239.252.219.214:5140
江西卫视,http://iku.sunnyli.link:4144/udp/239.252.219.30:5140
江西卫视,http://iku.sunnyli.link:4144/udp/239.252.220.63:5140
辽宁卫视,http://iku.sunnyli.link:4144/udp/239.252.219.35:5140
辽宁卫视,http://iku.sunnyli.link:4144/udp/239.252.220.62:5140
内蒙古卫视,http://iku.sunnyli.link:4144/udp/239.252.219.48:5140
青海卫视,http://iku.sunnyli.link:4144/udp/239.252.219.46:5140
三沙卫视,http://iku.sunnyli.link:4144/udp/239.252.219.76:5140
厦门卫视,http://iku.sunnyli.link:4144/udp/239.252.219.75:5140
山东教育卫视,http://iku.sunnyli.link:4144/udp/239.252.219.74:5140
山东卫视,http://iku.sunnyli.link:4144/udp/239.252.219.26:5140
山东卫视,http://iku.sunnyli.link:4144/udp/239.252.219.228:5140
山西卫视,http://iku.sunnyli.link:4144/udp/239.252.219.27:5140
陕西卫视,http://iku.sunnyli.link:4144/udp/239.252.219.105:5140
深圳卫视,http://iku.sunnyli.link:4144/udp/239.252.219.45:5140
深圳卫视,http://iku.sunnyli.link:4144/udp/239.252.219.212:5140
四川卫视,http://iku.sunnyli.link:4144/udp/239.252.219.32:5140
四川卫视,http://iku.sunnyli.link:4144/udp/239.252.220.93:5140
天津卫视,http://iku.sunnyli.link:4144/udp/239.252.219.34:5140
天津卫视,http://iku.sunnyli.link:4144/udp/239.252.220.61:5140
文西卫视,http://iku.sunnyli.link:4144/udp/239.252.219.40:5140
西藏卫视,http://iku.sunnyli.link:4144/udp/239.252.219.106:5140
新疆卫视,http://iku.sunnyli.link:4144/udp/239.252.219.100:5140
云南卫视,http://iku.sunnyli.link:4144/udp/239.252.219.185:5140
云南卫视,http://iku.sunnyli.link:4144/udp/239.252.219.216:5140
浙江卫视,http://iku.sunnyli.link:4144/udp/239.252.219.24:5140
浙江卫视,http://iku.sunnyli.link:4144/udp/239.252.219.210:5140
重庆卫视,http://iku.sunnyli.link:4144/udp/239.252.219.31:5140
重庆卫视,http://iku.sunnyli.link:4144/udp/239.252.220.94:5140

其它频道,#genre#
CETV1,http://iku.sunnyli.link:4144/udp/239.252.219.108:5140
CETV1,http://iku.sunnyli.link:4144/udp/239.252.220.198:5140
CETV2,http://iku.sunnyli.link:4144/udp/239.252.219.73:5140
CETV4,http://iku.sunnyli.link:4144/udp/239.252.219.169:5140
CGTN1,http://iku.sunnyli.link:4144/udp/239.252.219.14:5140
CGTN1,http://iku.sunnyli.link:4144/udp/239.252.219.194:5140
CGTN1,http://iku.sunnyli.link:4144/udp/239.252.220.150:5140
CGTN2,http://iku.sunnyli.link:4144/udp/239.252.219.65:5140
CGTN2,http://iku.sunnyli.link:4144/udp/239.252.219.195:5140
CGTN3,http://iku.sunnyli.link:4144/udp/239.252.219.66:5140
CGTN3,http://iku.sunnyli.link:4144/udp/239.252.219.196:5140
CGTN4,http://iku.sunnyli.link:4144/udp/239.252.219.67:5140
CHC动作电影,http://iku.sunnyli.link:4144/udp/239.252.219.85:5140
CHC家庭影院,http://iku.sunnyli.link:4144/udp/239.252.219.84:5140
CHC影迷电影,http://iku.sunnyli.link:4144/udp/239.252.219.83:5140
CHTV,http://iku.sunnyli.link:4144/udp/239.252.219.146:5140
city都市剧场,http://iku.sunnyli.link:4144/udp/239.252.219.103:5140
city都市剧场,http://iku.sunnyli.link:4144/udp/239.252.219.225:5140
EETV生态环境,http://iku.sunnyli.link:4144/udp/239.252.220.216:5140
财富天下,http://iku.sunnyli.link:4144/udp/239.252.220.240:5140
茶频道,http://iku.sunnyli.link:4144/udp/239.252.220.160:5140
昌飞航空,http://iku.sunnyli.link:4144/udp/239.252.220.47:5140
车迷频道,http://iku.sunnyli.link:4144/udp/239.252.220.215:5140
电影测试-4K,http://iku.sunnyli.link:4144/udp/239.252.220.212:5140
东方财经,http://iku.sunnyli.link:4144/udp/239.252.219.57:5140
东游,http://iku.sunnyli.link:4144/udp/239.252.219.55:5140
动漫秀场,http://iku.sunnyli.link:4144/udp/239.252.219.59:5140
法制天地,http://iku.sunnyli.link:4144/udp/239.252.219.56:5140
国学频道,http://iku.sunnyli.link:4144/udp/239.252.220.157:5140
哈哈炫动,http://iku.sunnyli.link:4144/udp/239.252.219.43:5140
欢笑剧场4K,http://iku.sunnyli.link:4144/udp/239.252.219.224:5140
环球旅游,http://iku.sunnyli.link:4144/udp/239.252.220.218:5140
环球奇观,http://iku.sunnyli.link:4144/udp/239.252.219.118:5140
环球奇观,http://iku.sunnyli.link:4144/udp/239.252.220.135:5140
纪实科教,http://iku.sunnyli.link:4144/udp/239.252.220.245:5140
纪实人文,http://iku.sunnyli.link:4144/udp/239.252.219.217:5140
纪实人文,http://iku.sunnyli.link:4144/udp/239.252.219.227:5140
家家购物,http://iku.sunnyli.link:4144/udp/239.252.220.148:5140
家庭理财,http://iku.sunnyli.link:4144/udp/239.252.220.217:5140
家有购物,http://iku.sunnyli.link:4144/udp/239.252.220.131:5140
嘉佳卡通,http://iku.sunnyli.link:4144/udp/239.252.219.92:5140
金色学堂,http://iku.sunnyli.link:4144/udp/239.252.219.63:5140
金鹰纪实,http://iku.sunnyli.link:4144/udp/239.252.220.155:5140
金鹰卡通,http://iku.sunnyli.link:4144/udp/239.252.219.44:5140
金鹰卡通,http://iku.sunnyli.link:4144/udp/239.252.219.69:5140
精彩影视,http://iku.sunnyli.link:4144/udp/239.252.220.223:5140
卡酷少儿,http://iku.sunnyli.link:4144/udp/239.252.219.109:5140
卡酷少儿,http://iku.sunnyli.link:4144/udp/239.252.220.246:5140
快乐垂钓,http://iku.sunnyli.link:4144/udp/239.252.220.177:5140
乐游,http://iku.sunnyli.link:4144/udp/239.252.219.141:5140
梨园频道,http://iku.sunnyli.link:4144/udp/239.252.220.179:5140
魅力足球,http://iku.sunnyli.link:4144/udp/239.252.219.58:5140
宁夏,http://iku.sunnyli.link:4144/udp/239.252.219.104:5140
汽摩,http://iku.sunnyli.link:4144/udp/239.252.220.181:5140
求索记录,http://iku.sunnyli.link:4144/udp/239.252.220.224:5140
生活时尚,http://iku.sunnyli.link:4144/udp/239.252.219.54:5140
四海钓鱼,http://iku.sunnyli.link:4144/udp/239.252.220.214:5140
文物宝库,http://iku.sunnyli.link:4144/udp/239.252.220.158:5140
武术世界,http://iku.sunnyli.link:4144/udp/239.252.220.180:5140
先锋乒羽,http://iku.sunnyli.link:4144/udp/239.252.219.184:5140
新动漫,http://iku.sunnyli.link:4144/udp/239.252.220.132:5140
央广购物,http://iku.sunnyli.link:4144/udp/239.252.220.147:5140
优优宝贝,http://iku.sunnyli.link:4144/udp/239.252.220.219:5140
游戏风云,http://iku.sunnyli.link:4144/udp/239.252.219.60:5140
证券服务,http://iku.sunnyli.link:4144/udp/239.252.219.144:5140
中国天气,http://iku.sunnyli.link:4144/udp/239.252.219.143:5140
