江西频道,#genre#
央视精品,rtsp://115.153.254.81/PLTV/88888888/224/3221226957/86128679.smil
导视,rtsp://115.153.254.81/PLTV/88888888/224/3221225623/iptv8002.smil
中国天气,rtsp://115.153.254.81/PLTV/88888888/224/3221227056/89471929.smil


CCTV1,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel1/1300.m3u8
CCTV2,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel2/1300.m3u8
CCTV3,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel3/1300.m3u8
CCTV4,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel4/1300.m3u8
CCTV5,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel5/1300.m3u8
CCTV5+,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel13/1300.m3u8
CCTV6,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel6/1300.m3u8
CCTV7,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel7/1300.m3u8
CCTV8,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel8/1300.m3u8
CCTV9,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel9/1300.m3u8
CCTV10,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel10/1300.m3u8
CCTV11,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel41/1300.m3u8
CCTV12,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel11/1300.m3u8
CCTV13,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel39/1300.m3u8
CCTV14,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel12/1300.m3u8
CCTV15,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel40/1300.m3u8
CGTN,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel14/1300.m3u8
CGTN,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel15/1300.m3u8
CETV1,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel33/1300.m3u8
CETV4,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel38/1300.m3u8
SKTV,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel37/1300.m3u8



CCTV1,rtsp://115.153.230.145/PLTV/88888888/224/3221225699/iptv8040.smil
CCTV2,rtsp://115.153.230.145/PLTV/88888888/224/3221226825/59814584.smil
CCTV3,rtsp://115.153.230.145/PLTV/88888888/224/3221226930/65406412.smil
CCTV4,rtsp://115.153.230.145/PLTV/88888888/224/3221226838/59814684.smil
CCTV5,rtsp://115.153.230.145/PLTV/88888888/224/3221226907/65396401.smil
CCTV5,rtsp://115.153.230.145/PLTV/88888888/224/3221226976/85722488.smil
CCTV6,rtsp://115.153.230.145/PLTV/88888888/224/3221226909/65396493.smil
CCTV7,rtsp://115.153.230.145/PLTV/88888888/224/3221226827/59814693.smil
CCTV8,rtsp://115.153.230.145/PLTV/88888888/224/3221226911/65406606.smil
CCTV9,rtsp://115.153.230.145/PLTV/88888888/224/3221226840/59814699.smil
CCTV10,rtsp://115.153.230.145/PLTV/88888888/224/3221226630/51813372.smil
CCTV11,rtsp://115.153.230.145/PLTV/88888888/224/3221226986/85722616.smil
CCTV12,rtsp://115.153.230.145/PLTV/88888888/224/3221226829/59814709.smil
CCTV13,rtsp://115.153.230.145/PLTV/88888888/224/3221227037/87447722.smil
CCTV14,rtsp://115.153.230.145/PLTV/88888888/224/3221226634/51813368.smil
CCTV15,rtsp://115.153.230.145/PLTV/88888888/224/3221226988/85722541.smil
CCTV16-4K,rtsp://115.153.230.145/PLTV/88888888/224/3221227051/92603106.smil
CCTV17,rtsp://115.153.230.145/PLTV/88888888/224/3221226846/61397282.smil
CCTV3高清,rtsp://115.153.230.145/PLTV/88888888/224/3221226841/63329606.smil
CCTV5高清,rtsp://115.153.230.145/PLTV/88888888/224/3221226852/63329574.smil
CCTV6高清,rtsp://115.153.230.145/PLTV/88888888/224/3221226843/63329570.smil
CCTV8高清,rtsp://115.153.230.145/PLTV/88888888/224/3221226854/63329578.smil


CCTV1,rtsp://115.153.245.70/PLTV/88888888/224/3221225699/iptv8040.smil
CCTV2,rtsp://115.153.245.70/PLTV/88888888/224/3221226825/59814584.smil
CCTV3,rtsp://115.153.245.70/PLTV/88888888/224/3221226930/65406412.smil
CCTV4,rtsp://115.153.245.70/PLTV/88888888/224/3221226838/59814684.smil
CCTV5,rtsp://115.153.245.70/PLTV/88888888/224/3221226907/65396401.smil
CCTV5+,rtsp://115.153.245.70/PLTV/88888888/224/3221226976/85722488.smil
CCTV6,rtsp://115.153.245.70/PLTV/88888888/224/3221226909/65396493.smil
CCTV7,rtsp://115.153.245.70/PLTV/88888888/224/3221226827/59814693.smil
