央视频道,#genre#
CCTV-16 奥林匹克,http://183.133.107.248:8899/rtp/233.50.201.63:5140
CCTV-16 奥林匹克,http://183.133.106.249:8899/rtp/233.50.201.63:5140
CCTV-16 奥林匹克,http://171.117.246.67:8004/rtp/226.0.2.169:9264
CCTV-17 农业农村,http://218.88.85.171:4022/udp/239.93.0.92:5140
CCTV-17 农业农村,http://123.180.209.104:8888/rtp/239.254.201.120:8144
CCTV-17 农业农村,http://221.205.167.101:8083/rtp/226.0.2.170:9272
CCTV-17 农业农村,http://171.117.246.67:8004/rtp/226.0.2.170:9272
CHC动作电影,http://27.19.147.206:8088/rtp/239.69.1.242:11094
CHC动作电影,http://221.205.167.101:8083/rtp/226.0.2.94:8012
CHC动作电影,http://171.117.246.67:8004/rtp/226.0.2.94:8012
CHC动作电影,http://106.57.1.186:55555/udp/239.200.201.31:8144
CHC家庭影院,http://27.19.147.206:8088/rtp/239.69.1.243:11100
CHC家庭影院,http://221.205.167.101:8083/rtp/226.0.2.240:9820
CHC家庭影院,http://171.117.246.67:8004/rtp/226.0.2.240:9820
CHC高清电影,http://27.19.147.206:8088/rtp/239.69.1.241:11088
CHC高清电影,http://171.117.246.67:8004/rtp/226.0.2.93:8004
CHC高清电影,http://183.188.197.34:8000/rtp/226.0.2.93:8004
CHC高清电影,http://221.205.167.101:8083/rtp/226.0.2.93:8004
兵器科技,http://27.19.147.206:8088/rtp/239.69.1.79:10114
兵器科技,http://106.57.1.186:55555/udp/239.200.200.91:8036
兵器科技,http://221.205.167.101:8083/rtp/226.0.2.223:9696
兵器科技,http://171.117.246.67:8004/rtp/226.0.2.223:9696
怀旧剧场,http://113.133.234.33:8014/rtp/239.111.205.67:5140
怀旧剧场,http://1.70.33.224:8082/udp/239.1.1.95:8095
怀旧剧场,http://106.57.1.186:55555/udp/239.200.200.85:8032
怀旧剧场,http://171.117.246.67:8004/rtp/226.0.2.224:9704
怀旧剧场,http://221.205.167.101:8083/rtp/226.0.2.224:9704
世界地理,http://1.70.33.224:8082/udp/239.1.1.99:8099
世界地理,http://171.117.246.67:8004/rtp/226.0.2.222:9688
世界地理,http://27.19.147.206:8088/rtp/239.69.1.91:10186
世界地理,http://106.57.1.186:55555/udp/239.200.200.130:8012
世界地理,http://221.205.167.101:8083/rtp/226.0.2.222:9688
文化精品,http://113.133.234.33:8014/rtp/239.111.205.75:5140
文化精品,http://221.205.167.101:8083/rtp/226.0.2.219:9664
文化精品,http://171.117.246.67:8004/rtp/226.0.2.219:9664
文化精品,http://106.57.1.186:55555/udp/239.200.200.92:8028
央视台球,http://106.57.1.186:55555/udp/239.200.200.135:8076
央视台球,http://27.19.147.206:8088/rtp/239.69.1.98:10224
央视台球,http://123.180.209.104:8888/rtp/239.254.201.171:7176
央视台球,http://221.205.167.101:8083/rtp/226.0.2.216:9640
央视台球,http://171.117.246.67:8004/rtp/226.0.2.216:9640
高尔夫网球,http://113.133.234.33:8014/rtp/239.111.205.73:5140
高尔夫网球,http://27.19.147.206:8088/rtp/239.69.1.83:10138
高尔夫网球,http://223.10.32.52:8085/udp/239.1.1.102:8102
高尔夫网球,http://1.70.33.224:8082/udp/239.1.1.102:8102
高尔夫网球,http://106.57.1.186:55555/udp/239.200.200.89:8024
风云剧场,http://113.133.234.33:8014/rtp/239.111.205.66:5140
风云剧场,http://223.10.32.52:8085/udp/239.1.1.93:8093
风云剧场,http://221.205.167.101:8083/rtp/226.0.2.227:9728
风云剧场,http://171.117.246.67:8004/rtp/226.0.2.227:9728
风云剧场,http://106.57.1.186:55555/udp/239.200.200.84:8016
风云音乐,http://221.205.167.101:8083/rtp/226.0.2.220:9672
风云音乐,http://171.117.246.67:8004/rtp/226.0.2.220:9672
风云音乐,http://223.10.32.52:8085/udp/239.1.1.96:8096
风云音乐,http://106.57.1.186:55555/udp/239.200.200.86:8008
第一剧场,http://27.19.147.206:8088/rtp/239.69.1.74:10084
第一剧场,http://106.57.1.186:55555/udp/239.200.200.82:8004
第一剧场,http://171.117.246.67:8004/rtp/226.0.2.221:9680
第一剧场,http://221.205.167.101:8083/rtp/226.0.2.221:9680
女性时尚,http://171.117.246.67:8004/rtp/226.0.2.226:9720
女性时尚,http://113.133.234.33:8014/rtp/239.111.205.72:5140
女性时尚,http://106.57.1.186:55555/udp/239.200.200.100:8084
风云足球,http://27.19.147.206:8088/rtp/239.69.1.81:10126
风云足球,http://223.10.32.52:8085/udp/239.1.1.101:8101
风云足球,http://221.205.167.101:8083/rtp/226.0.2.225:9712
风云足球,http://171.117.246.67:8004/rtp/226.0.2.225:9712
电视指南,http://223.10.32.52:8085/udp/239.1.1.90:8090
电视指南,http://221.205.167.101:8083/rtp/226.0.2.218:9656
电视指南,http://171.117.246.67:8004/rtp/226.0.2.218:9656
电视指南,http://106.57.1.186:55555/udp/239.200.200.83:8000

卫视频道,#genre#
北京卫视,http://123.180.209.104:8888/rtp/239.254.200.47:8024
北京卫视,http://183.133.106.249:8899/rtp/233.50.201.107:5140
北京卫视,http://125.113.93.76:8888/rtp/233.50.201.107:5140
北京卫视,http://183.133.107.248:8899/rtp/233.50.201.107:5140
北京卫视,http://223.10.32.52:8085/udp/239.1.1.41:8041
湖南卫视,http://123.180.209.104:8888/rtp/239.254.200.48:8012
湖南卫视,http://125.113.93.76:8888/rtp/233.50.201.103:5140
湖南卫视,http://221.205.167.101:8083/rtp/226.0.2.143:9056
湖南卫视,http://183.133.107.248:8899/rtp/233.50.201.103:5140
湖南卫视,http://183.133.106.249:8899/rtp/233.50.201.103:5140
东方卫视,http://123.180.209.104:8888/rtp/239.254.200.52:8032
东方卫视,http://183.133.107.248:8899/rtp/233.50.201.125:5140
东方卫视,http://125.113.93.76:8888/rtp/233.50.201.125:5140
东方卫视,http://171.117.246.67:8004/rtp/226.0.2.175:9312
东方卫视,http://183.133.106.249:8899/rtp/233.50.201.125:5140
四川卫视,http://221.205.167.101:8083/rtp/226.0.2.179:9344
四川卫视,http://123.180.209.104:8888/rtp/239.254.200.202:6325
四川卫视,http://125.113.93.76:8888/rtp/233.50.201.139:5140
四川卫视,http://183.133.106.249:8899/rtp/233.50.201.139:5140
四川卫视,http://183.133.107.248:8899/rtp/233.50.201.139:5140
天津卫视,http://221.205.167.101:8083/rtp/226.0.2.148:9096
天津卫视,http://123.180.209.104:8888/rtp/239.254.200.54:1234
天津卫视,http://183.133.107.248:8899/rtp/233.50.201.104:5140
天津卫视,http://125.113.93.76:8888/rtp/233.50.201.104:5140
