央视频道,#genre#
贵州卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225483/index.m3u8?fmt=ts2hls
海南卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226212/index.m3u8?fmt=ts2hls
河北卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225610/index.m3u8?fmt=ts2hls
河南卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225611/index.m3u8?fmt=ts2hls
黑龙江卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225586/index.m3u8?fmt=ts2hls
湖北卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225699/index.m3u8
吉林卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225680/index.m3u8
江苏卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225702/index.m3u8
辽宁卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225601/index.m3u8?fmt=ts2hls
青海卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225727/1/index.m3u8?fmt=ts2hls
山东卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225484/index.m3u8?fmt=ts2hls
四川卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225487/index.m3u8?fmt=ts2hls
天津卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225485/index.m3u8?fmt=ts2hls
云南卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225664/1/index.m3u8?fmt=ts2hls
深圳卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225598/index.m3u8?fmt=ts2hls
内蒙古卫视 标清,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225667/index.m3u8
宁夏卫视 标清,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225726/index.m3u8
陕西卫视 标清,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225729/index.m3u8
西藏卫视 标清,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225723/index.m3u8
山西卫视 标清,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225730/index.m3u8
新疆卫视 标清,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225534/index.m3u8?fmt=ts2hls
广东大湾区卫视 标清,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226203/index.m3u8
厦门卫视 标清,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225726/index.m3u8?

江西卫视,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225746/index.m3u8?
湖南卫视,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225704/index.m3u8?
浙江卫视,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225744/index.m3u8?
江苏卫视,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225702/index.m3u8?
东方卫视,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225659/index.m3u8?
北京卫视,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225674/index.m3u8?
广东卫视,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225742/index.m3u8?
深圳卫视,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225700/index.m3u8?
湖北卫视,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225699/index.m3u8?
天津卫视,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225698/index.m3u8?
山东卫视,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225738/index.m3u8?
安徽卫视,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225691/index.m3u8?
黑龙江卫视,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225690/index.m3u8?
辽宁卫视,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225696/index.m3u8?
